Reporting Month,Asset Class,Product,Number of Open Positions,Aggregate Gross Notional Value of Open Positions (in USD million),Number of New Transactions,Aggregate Notional Value of New Transactions (in USD million)
Sep-18,Foreign Exchange,Forwards and swaps,243653,4993373,235612,7213733
Sep-18,Foreign Exchange,NDF,248718,1754625,185350,1116738
Sep-18,Foreign Exchange,Spot,4401,152293,27202,988075
Sep-18,Foreign Exchange,Options,126570,2203549,57151,719009
Sep-18,Foreign Exchange,Others,187254,260380,44204,69256
Sep-18,Interest Rate,Cross Currency Swap,37224,1723866,1288,99074
Sep-18,Interest Rate,FRA,5230,811401,1257,306578
Sep-18,Interest Rate,Interest Rate Swap,283469,15200043,24704,2025772
Sep-18,Interest Rate,Options,13988,1065020,719,82043
Sep-18,Interest Rate,Others,9766,214721,816,37941
Oct-18,Credit,Index,1639,57071,117,5151
Oct-18,Credit,Single name: Corporate,3910,29677,107,814
Oct-18,Credit,Single name: Sovereign,4777,74688,105,3921
Oct-18,Credit,Others,1376,38118,129,3580
Oct-18,Foreign Exchange,Forwards and swaps,254488,5126520,266253,8081729
Oct-18,Foreign Exchange,NDF,259870,1835173,208805,1220070
Oct-18,Foreign Exchange,Spot,3691,147416,27694,1075716
Oct-18,Foreign Exchange,Options,127328,2296403,62205,829412
Oct-18,Foreign Exchange,Others,178582,313519,50885,110286
Oct-18,Interest Rate,Cross Currency Swap,37617,1777977,1326,124888
Oct-18,Interest Rate,FRA,4045,627464,848,243964
Oct-18,Interest Rate,Interest Rate Swap,289739,16138264,29545,2575753
Oct-18,Interest Rate,Options,13822,1037153,637,40485
Oct-18,Interest Rate,Others,9709,214852,839,25445
Nov-18,Credit,Index,1676,62289,178,10983
Nov-18,Credit,Single name: Corporate,3979,30050,82,423
Nov-18,Credit,Single name: Sovereign,4777,74812,58,1505
Nov-18,Credit,Others,1417,37648,165,10394
Nov-18,Foreign Exchange,Forwards and swaps,266259,5500993,238731,7491139
Nov-18,Foreign Exchange,NDF,265346,1915470,199476,1201956
Nov-18,Foreign Exchange,Spot,3202,127690,25038,916702
Nov-18,Foreign Exchange,Options,125701,2256531,62772,783211
Nov-18,Foreign Exchange,Others,177693,298772,45141,95645
Nov-18,Interest Rate,Cross Currency Swap,37873,1796524,1380,142599
Nov-18,Interest Rate,FRA,5476,810664,2613,458894
Nov-18,Interest Rate,Interest Rate Swap,295228,16047509,27216,2164864
Nov-18,Interest Rate,Options,13709,1040783,748,57073
Nov-18,Interest Rate,Others,9609,211021,849,21307
Dec-18,Credit,Index,1540,53652,87,2245
Dec-18,Credit,Single name: Corporate,3892,29298,41,244
Dec-18,Credit,Single name: Sovereign,4714,73976,58,831
Dec-18,Credit,Others,1604,39751,259,4043
Dec-18,Foreign Exchange,Forwards and swaps,239472,4988390,211884,6470064
Dec-18,Foreign Exchange,NDF,202562,1599540,158747,1059785
Dec-18,Foreign Exchange,Spot,2437,83296,22256,805547
Dec-18,Foreign Exchange,Options,112876,1991722,46146,592970
Dec-18,Foreign Exchange,Others,161272,229674,33479,61410
Dec-18,Interest Rate,Cross Currency Swap,37913,1749962,1047,81644
Dec-18,Interest Rate,FRA,4990,667904,860,190953
Dec-18,Interest Rate,Interest Rate Swap,300861,15652688,26245,2174616
Dec-18,Interest Rate,Options,13421,952188,770,41190
Dec-18,Interest Rate,Others,9198,194866,597,25993
Jan-19,Credit,Index,1637,55248,223,5632
Jan-19,Credit,Single name: Corporate,4001,29863,106,697
Jan-19,Credit,Single name: Sovereign,4722,75036,177,3120
Jan-19,Credit,Others,1756,43973,261,4667
Jan-19,Foreign Exchange,Forwards and swaps,259928,5580939,254032,8982434
Jan-19,Foreign Exchange,NDF,233500,1835345,193272,1306821
Jan-19,Foreign Exchange,Spot,3105,145295,25342,1189761
Jan-19,Foreign Exchange,Options,121354,2128924,67286,937492
Jan-19,Foreign Exchange,Others,165015,311558,65247,162511
Jan-19,Interest Rate,Cross Currency Swap,38210,1804839,1416,156666
Jan-19,Interest Rate,FRA,4468,723444,1161,328820
Jan-19,Interest Rate,Interest Rate Swap,304046,16590441,30843,3050992
Jan-19,Interest Rate,Options,13283,857110,885,84934
Jan-19,Interest Rate,Others,9987,207507,1458,37538
Feb-19,Credit,Index,1774,58864,241,6528
Feb-19,Credit,Single name: Corporate,4102,30840,149,1368
Feb-19,Credit,Single name: Sovereign,4771,75835,89,1634
Feb-19,Credit,Others,1928,48720,282,5721
Feb-19,Foreign Exchange,Forwards and swaps,263291,5863177,209741,7599558
Feb-19,Foreign Exchange,NDF,231037,1794533,148648,920406
Feb-19,Foreign Exchange,Spot,3053,126949,19341,826836
Feb-19,Foreign Exchange,Options,120421,2054609,54268,621745
Feb-19,Foreign Exchange,Others,163290,258536,40526,79329
Feb-19,Interest Rate,Cross Currency Swap,38781,1847139,1544,153048
Feb-19,Interest Rate,FRA,5867,932947,2222,464654
Feb-19,Interest Rate,Interest Rate Swap,310567,16783983,24279,2686235
Feb-19,Interest Rate,Options,13261,806228,745,41368
Feb-19,Interest Rate,Others,10039,200883,743,24295
Mar-19,Credit,Index,1787,64795,395,17263
Mar-19,Credit,Single name: Corporate,4030,31043,154,3037
Mar-19,Credit,Single name: Sovereign,4783,77692,332,10669
Mar-19,Credit,Others,1938,40240,218,4486
Mar-19,Foreign Exchange,Forwards and swaps,265187,5713935,237042,8272251
Mar-19,Foreign Exchange,NDF,231620,1745568,190067,1245767
Mar-19,Foreign Exchange,Spot,2865,121950,23555,1033009
Mar-19,Foreign Exchange,Options,124769,2037597,67843,683954
Mar-19,Foreign Exchange,Others,163460,253280,38535,119833
Mar-19,Interest Rate,Cross Currency Swap,39130,1853310,1611,137665
Mar-19,Interest Rate,FRA,5003,854987,1494,361784
Mar-19,Interest Rate,Interest Rate Swap,309263,16747012,32188,3227304
Mar-19,Interest Rate,Options,13447,820355,1178,88097
Mar-19,Interest Rate,Others,9964,202997,899,22665
Apr-19,Credit,Index,1858,63377,194,4879
Apr-19,Credit,Single name: Corporate,4103,31236,146,1251
Apr-19,Credit,Single name: Sovereign,4787,75993,107,2311
Apr-19,Credit,Others,1934,35804,145,1515
Apr-19,Foreign Exchange,Forwards and swaps,273023,5557182,250882,8510677
Apr-19,Foreign Exchange,NDF,230073,1651337,179204,1117466
Apr-19,Foreign Exchange,Spot,3458,131782,24806,1032279
Apr-19,Foreign Exchange,Options,121022,1934564,64979,654781
Apr-19,Foreign Exchange,Others,152933,245996,32402,81883
Apr-19,Interest Rate,Cross Currency Swap,39674,1911459,1407,132245
Apr-19,Interest Rate,FRA,5461,1039451,1621,392964
Apr-19,Interest Rate,Interest Rate Swap,314878,17604648,25704,2978683
Apr-19,Interest Rate,Options,13628,814514,877,48612
Apr-19,Interest Rate,Others,9827,197209,769,14611
May-19,Credit,Index,1944,62613,212,8709
May-19,Credit,Single name: Corporate,3938,30707,144,1178
May-19,Credit,Single name: Sovereign,4809,77684,288,3970
May-19,Credit,Others,1946,39804,308,6673
May-19,Foreign Exchange,Forwards and swaps,303066,5854936,273760,8334153
May-19,Foreign Exchange,NDF,275721,1950244,209118,1300266
May-19,Foreign Exchange,Spot,3415,158922,26964,1117412
May-19,Foreign Exchange,Options,124884,2186217,66932,950891
May-19,Foreign Exchange,Others,154105,251717,39326,87437
May-19,Interest Rate,Cross Currency Swap,40297,1983102,1652,178652
May-19,Interest Rate,FRA,5195,941951,1428,351970
May-19,Interest Rate,Interest Rate Swap,325638,18233287,26989,3336029
May-19,Interest Rate,Options,13559,824315,695,54564
May-19,Interest Rate,Others,9844,190206,787,17033
Jun-19,Credit,Index,1924,59119,277,5408
Jun-19,Credit,Single name: Corporate,3851,30090,173,1694
Jun-19,Credit,Single name: Sovereign,4813,76779,300,4812
Jun-19,Credit,Others,2001,34945,234,4167
Jun-19,Foreign Exchange,Forwards and swaps,296269,5768722,255206,7743550
Jun-19,Foreign Exchange,NDF,242654,1750290,164079,1054480
Jun-19,Foreign Exchange,Spot,4674,165384,31253,1178290
Jun-19,Foreign Exchange,Options,121957,2132337,52970,727400
Jun-19,Foreign Exchange,Others,149619,243792,31075,58180
Jun-19,Interest Rate,Cross Currency Swap,40730,2007277,1673,156424
Jun-19,Interest Rate,FRA,3657,520971,1130,285393
Jun-19,Interest Rate,Interest Rate Swap,313271,16800129,27368,3245823
Jun-19,Interest Rate,Options,13348,820630,719,46858
Jun-19,Interest Rate,Others,10022,185342,1044,21675
Jul-19,Credit,Index,2039,59961,184,2908
Jul-19,Credit,Single name: Corporate,3926,30934,171,1900
Jul-19,Credit,Single name: Sovereign,4903,77727,163,2629
Jul-19,Credit,Others,2197,36136,326,2834
Jul-19,Foreign Exchange,Forwards and swaps,318340,5993862,314929,9827624
Jul-19,Foreign Exchange,NDF,221759,1696396,166187,1111356
Jul-19,Foreign Exchange,Spot,6651,185616,49763,1567931
Jul-19,Foreign Exchange,Options,122216,2008318,57820,648146
Jul-19,Foreign Exchange,Others,145595,256584,31541,69086
Jul-19,Interest Rate,Cross Currency Swap,41156,2044970,1695,169045
Jul-19,Interest Rate,FRA,3972,569111,1571,365480
Jul-19,Interest Rate,Interest Rate Swap,318574,17362700,25231,2490031
Jul-19,Interest Rate,Options,13227,805038,592,27947
Jul-19,Interest Rate,Others,10088,205441,1114,52533
Aug-19,Credit,Index,2127,65077,250,9142
Aug-19,Credit,Single name: Corporate,3921,30980,111,1047
Aug-19,Credit,Single name: Sovereign,5113,80474,320,4562
Aug-19,Credit,Others,2380,35973,385,3578
Aug-19,Foreign Exchange,Forwards and swaps,369173,6297693,350276,8822154
Aug-19,Foreign Exchange,NDF,265212,1947528,199934,1285788
Aug-19,Foreign Exchange,Spot,5885,200441,53136,1383120
Aug-19,Foreign Exchange,Options,124921,2153172,59123,811627
Aug-19,Foreign Exchange,Others,136900,265494,39729,79085
Aug-19,Interest Rate,Cross Currency Swap,41852,2127380,1985,173571
Aug-19,Interest Rate,FRA,3921,604902,1229,237725
Aug-19,Interest Rate,Interest Rate Swap,317642,16208600,30923,2548585
Aug-19,Interest Rate,Options,13151,773575,501,29506
Aug-19,Interest Rate,Others,9919,204086,839,21550
Sep-19,Credit,Index,2099,71888,304,14320
Sep-19,Credit,Single name: Corporate,3935,31464,159,2009
Sep-19,Credit,Single name: Sovereign,5088,84119,234,8218
Sep-19,Credit,Others,2258,33259,259,2671
Sep-19,Foreign Exchange,Forwards and swaps,354273,6408524,320900,9045597
Sep-19,Foreign Exchange,NDF,231081,1780371,175042,1219830
Sep-19,Foreign Exchange,Spot,6221,181219,50698,1393015
Sep-19,Foreign Exchange,Options,120282,2017817,53128,680914
Sep-19,Foreign Exchange,Others,143237,271632,42890,78239
Sep-19,Interest Rate,Cross Currency Swap,42546,2193850,1823,210824
Sep-19,Interest Rate,FRA,3764,556901,1600,378679
Sep-19,Interest Rate,Interest Rate Swap,331623,16486000,29014,2741776
Sep-19,Interest Rate,Options,12536,747436,426,30338
Sep-19,Interest Rate,Others,10042,204498,986,48536
Oct-19,Credit,Index,1858,64535,267,5619
Oct-19,Credit,Single name: Corporate,4240,35034,242,3488
Oct-19,Credit,Single name: Sovereign,4770,83254,260,7216
Oct-19,Credit,Others,2324,33567,424,3873
Oct-19,Foreign Exchange,Forwards and swaps,367351,6181638,328839,8847735
Oct-19,Foreign Exchange,NDF,219775,1755504,165505,1103359
Oct-19,Foreign Exchange,Spot,6557,163950,48718,1339468
Oct-19,Foreign Exchange,Options,119696,1934429,57769,607139
Oct-19,Foreign Exchange,Others,143320,295689,37447,88530
Oct-19,Interest Rate,Cross Currency Swap,42938,2259164,1847,207755
Oct-19,Interest Rate,FRA,3353,513904,877,207801
Oct-19,Interest Rate,Interest Rate Swap,331884,16315561,33021,2648903
Oct-19,Interest Rate,Options,12784,765904,731,50206
Oct-19,Interest Rate,Others,10167,215150,902,27831
Nov-19,Credit,Index,2390,71754,248,7845
Nov-19,Credit,Single name: Corporate,4579,36360,391,1600
Nov-19,Credit,Single name: Sovereign,4878,82788,231,3656
Nov-19,Credit,Others,2313,32895,430,2711
Nov-19,Foreign Exchange,Forwards and swaps,394431,6516875,309811,8035718
Nov-19,Foreign Exchange,NDF,240308,1982230,163871,1240174
Nov-19,Foreign Exchange,Spot,7313,229667,43958,1233874
Nov-19,Foreign Exchange,Options,114816,1857298,49449,575468
Nov-19,Foreign Exchange,Others,142958,281997,25754,87594
Nov-19,Interest Rate,Cross Currency Swap,43298,2262757,1393,115699
Nov-19,Interest Rate,FRA,3090,586046,1045,326353
Nov-19,Interest Rate,Interest Rate Swap,336405,16195368,36304,2782999
Nov-19,Interest Rate,Options,13096,761861,900,50798
Nov-19,Interest Rate,Others,10176,216040,601,133246
Dec-19,Credit,Index,2409,71174,234,5026
Dec-19,Credit,Single name: Corporate,4722,37235,83,1355
Dec-19,Credit,Single name: Sovereign,5020,90186,238,4031
Dec-19,Credit,Others,2750,35480,465,4168
Dec-19,Foreign Exchange,Forwards and swaps,358492,5508876,325058,8329283
Dec-19,Foreign Exchange,NDF,191097,1566124,142011,1081012
Dec-19,Foreign Exchange,Spot,5111,136445,45960,1262648
Dec-19,Foreign Exchange,Options,105406,1658720,44508,490841
Dec-19,Foreign Exchange,Others,127260,287511,24150,75594
Dec-19,Interest Rate,Cross Currency Swap,42848,2148893,1144,100918
Dec-19,Interest Rate,FRA,1908,211238,486,79778
Dec-19,Interest Rate,Interest Rate Swap,305889,14226856,28644,2571266
Dec-19,Interest Rate,Options,13036,740568,447,22203
Dec-19,Interest Rate,Others,10171,342787,1022,45221
Jan-20,Credit,Index,2697,79024,483,15499
Jan-20,Credit,Single name: Corporate,5032,39474,525,3024
Jan-20,Credit,Single name: Sovereign,5452,98537,717,12790
Jan-20,Credit,Others,2829,34675,545,5966
Jan-20,Foreign Exchange,Forwards and swaps,409288,6053248,357203,9323792
Jan-20,Foreign Exchange,NDF,238453,1793580,191778,1226475
Jan-20,Foreign Exchange,Spot,7031,205476,48188,1407886
Jan-20,Foreign Exchange,Options,117157,1851588,59355,769845
Jan-20,Foreign Exchange,Others,130875,352826,36225,130009
Jan-20,Interest Rate,Cross Currency Swap,43028,2199936,1594,157816
Jan-20,Interest Rate,FRA,2644,394263,1863,492666
Jan-20,Interest Rate,Interest Rate Swap,327381,16909661,42295,4388674
Jan-20,Interest Rate,Options,13052,732495,596,42558
Jan-20,Interest Rate,Others,10794,261191,1325,34795
Feb-20,Credit,Index,2560,85154,811,22856
Feb-20,Credit,Single name: Corporate,5830,45386,989,5297
Feb-20,Credit,Single name: Sovereign,5859,106491,942,12448
Feb-20,Credit,Others,2998,41739,633,11282
Feb-20,Foreign Exchange,Forwards and swaps,411632,5696282,355684,8558408
Feb-20,Foreign Exchange,NDF,263275,1966230,211793,1307506
Feb-20,Foreign Exchange,Spot,4820,152085,47927,1232785
Feb-20,Foreign Exchange,Options,122812,1971451,61534,782881
Feb-20,Foreign Exchange,Others,125438,453199,44286,161773
Feb-20,Interest Rate,Cross Currency Swap,43204,2213259,1707,151550
Feb-20,Interest Rate,FRA,2299,304840,914,188381
Feb-20,Interest Rate,Interest Rate Swap,337183,17939277,46853,5259277
Feb-20,Interest Rate,Options,12981,729934,602,54850
Feb-20,Interest Rate,Others,10686,264462,1339,30537
Mar-20,Credit,Index,2828,85809,1533,49521
Mar-20,Credit,Single name: Corporate,6716,51815,1150,9540
Mar-20,Credit,Single name: Sovereign,6457,118005,1885,37973
Mar-20,Credit,Others,2711,39944,351,5010
Mar-20,Foreign Exchange,Forwards and swaps,463327,6176569,443096,9459271
Mar-20,Foreign Exchange,NDF,301098,2088861,253993,1591303
Mar-20,Foreign Exchange,Spot,7289,206422,60994,1515023
Mar-20,Foreign Exchange,Options,132808,2103802,69167,757595
Mar-20,Foreign Exchange,Others,105126,434442,49071,121772
Mar-20,Interest Rate,Cross Currency Swap,43866,2229919,2700,213550
Mar-20,Interest Rate,FRA,3253,514090,2541,559816
Mar-20,Interest Rate,Interest Rate Swap,355534,17117495,60552,3997720
Mar-20,Interest Rate,Options,12898,682765,633,37858
Mar-20,Interest Rate,Others,10822,290918,1434,73156
Apr-20,Credit,Index,2949,84497,720,25119
Apr-20,Credit,Single name: Corporate,7555,54128,1584,7426
Apr-20,Credit,Single name: Sovereign,6628,121500,888,28987
Apr-20,Credit,Others,2815,40856,412,15279
Apr-20,Foreign Exchange,Forwards and swaps,426777,5785750,323711,8111282
Apr-20,Foreign Exchange,NDF,221549,1812970,154258,1009612
Apr-20,Foreign Exchange,Spot,6635,161489,47426,1195123
Apr-20,Foreign Exchange,Options,126166,1898740,52740,522821
Apr-20,Foreign Exchange,Others,105794,415036,29244,62849
Apr-20,Interest Rate,Cross Currency Swap,44230,2204640,1565,99471
Apr-20,Interest Rate,FRA,3424,458638,1792,301150
Apr-20,Interest Rate,Interest Rate Swap,362712,16402900,35321,1813860
Apr-20,Interest Rate,Options,12749,674393,534,30586
Apr-20,Interest Rate,Others,11172,292363,1086,34482
May-20,Credit,Index,3307,98256,470,17802
May-20,Credit,Single name: Corporate,9061,57503,1975,7204
May-20,Credit,Single name: Sovereign,6546,120901,787,21771
May-20,Credit,Others,2878,40004,443,3707
May-20,Foreign Exchange,Forwards and swaps,397985,5196100,314769,7253020
May-20,Foreign Exchange,NDF,205067,1709700,143955,905424
May-20,Foreign Exchange,Spot,4408,110095,45723,1112288
May-20,Foreign Exchange,Options,124868,1855610,54228,553544
May-20,Foreign Exchange,Others,105316,404230,23376,66524
May-20,Interest Rate,Cross Currency Swap,44022,2108270,1399,77568
May-20,Interest Rate,FRA,3352,453138,1543,239588
May-20,Interest Rate,Interest Rate Swap,367808,16090300,32908,1560954
May-20,Interest Rate,Options,12414,651792,653,54855
May-20,Interest Rate,Others,11287,299455,873,22018
Jun-20,Credit,Index,3534,110759,712,23663
